currency_code
"THB"
"CDF"
"HKD"
"IDR"
"CLF"
"TRY"
"ETB"
"ILS"
"MOP"
"SYP"
"UYI"
"AOA"
"SCR"
"MRU"
"HRK"
"GTQ"
"SLL"
"HUF"
"MXN"
"USN"
"CVE"
"RUB"
"JMD"
"AWG"
"ZAR"
"SAR"
"BWP"
"TOP"
"MNT"
"IRR"
"UYU"
"TTD"
"MYR"
"ANG"
"BND"
"BTN"
"MXV"
"QAR"
"SHP"
"CUP"
"BMD"
"SDG"
"XUA"
"LAK"
"AED"
"CLP"
"RSD"
"KGS"
"KES"
"XPF"
"AZN"
"XCD"
"AFN"
"KPW"
"BOV"
"ERN"
"AUD"
"NGN"
"BGN"
"TWD"
"LYD"
"NPR"
"PLN"
"COP"
"CRC"
"BHD"
"PKR"
"CHW"
"XOF"
"GBP"
"TND"
"OMR"
"MZN"
"GYD"
"CZK"
"MGA"
"DKK"
"KYD"
"GIP"
"MVR"
"SSP"
"RON"
"STN"
"RWF"
"NAD"
"JOD"
"XSU"
"VUV"
"BBD"
"UAH"
"CHF"
"SOS"
"CAD"
"GEL"
"LKR"
"BOB"
"MDL"
"NZD"
"MMK"
"LRD"
"VND"
"BYR"
"PGK"
"PYG"
"BZD"
"SRD"
"SEK"
"DZD"
"SVC"
"ARS"
"KHR"
"FJD"
"PEN"
"UZS"
"DJF"
"BRL"
"HNL"
"LBP"
"EGP"
"TJS"
"USD"
"FKP"
"TMT"
"PHP"
"LSL"
"ISK"
"YER"
"VEF"
"SBD"
"MUR"
"CNY"
"PAB"
"BAM"
"NOK"
"KMF"
"BDT"
"INR"
"HTG"
"ALL"
"MAD"
"MWK"
"GMD"
"AMD"
"UGX"
"KRW"
"DOP"
"MKD"
"KWD"
"EUR"
"ZWL"
"COU"
"TZS"
"CHE"
"ZMW"
"XAF"
"NIO"
"KZT"
"SGD"
"JPY"
"IQD"
"WST"
"BIF"
"GHS"
"XDR"
"CUC"
"SZL"
"BSD"
"GNF"
